application_id,Applications,Affected_Applications,Impacted_Services,criticality
116,Scout Monitor GUI, Scout Monitor GUI|Scout Core Xtreme| Scout Legacy Poller| Video Scout| Scout Poller ReArch|Scout Monitor GUI,Enterprise Applications,3
117,Singleview Reporting Services,Singleview Reporting Services,Enterprise Applications,3
118,penapp-po-b1p.sys.comcast.net,CODS| penapp-po-b1p.sys.comcast.net|penapp-po-b1p.sys.comcast.net| CODS,Enterprise Applications,1
119,penapp-po-a1p.sys.comcast.net,Pentaho BSD| penapp-po-a1p.sys.comcast.net| Pentaho BSD|penapp-po-a1p.sys.comcast.net,Enterprise Applications,1
120,eWorkflow (Comcast eForms),eWorkflow (Comcast eForms),Enterprise Applications,3
121,penapp-wc-b1p.sys.comcast.net,CODS| penapp-wc-b1p.sys.comcast.net|penapp-wc-b1p.sys.comcast.net| CODS,Enterprise Applications,1
122,Scout Poller ReArch,Scout Poller ReArch,Enterprise Applications,2
123,txpxpp001.tidwell.tx.houston.comcast.net,d866842d1b843bc045870e966e4bcb5b,Data Center - Access Network Infrastructure| Enterprise Applications,4
124,cmtadpt-cmc-w02.sys.comcast.net, cmtadpt-cmc-w02.sys.comcast.net|Design Review Worksheet (DRW)|cmtadpt-cmc-w02.sys.comcast.net| Design Review Worksheet (DRW),Enterprise Applications,2
125,XCOS - SCMS,XCOS - SCMS| Xfinity.com,Enterprise Applications| Enterprise Applications,3
126,WUG - WhatsUp Gold, meswg2-eg-ap01.cable.comcast.com| wc-comcast-sql.cable.comcast.com| meswg1-eg-ap01.cable.comcast.com| wc-wug-db3.cable.comcast.com| WUG - WhatsUp Gold| wc-comcast-app.cable.comcast.com|meswg1-eg-ap01.cable.comcast.com| wc-br-wug-db.cable.comcast.com| wc-wug7.cable.comcast.com|WUG - WhatsUp Gold| meswg3-eg-ap01.cable.comcast.com|meswg3-eg-pp01.cable.comcast.com,Enterprise Applications,4
127,bsdadmin-po-1p.sys.comcast.net,257c086cdb131b404b1a5623dc96198f| BSD Ops| 257c086cdb131b404b1a5623dc96198f|BSD Ops,Enterprise Applications,1
128,EP-Fintech-TRECS,EP-Fintech-TRECS,Enterprise Applications,2
129,cramgenesis-po-01p.sys.comcast.net, CLIPS OSS|cramgenesis-po-01p.sys.comcast.net,Enterprise Applications,4
130,Orion Middleware,Orion Middleware,Enterprise Applications,2
131,XCOS - CI/CD,XCOS - CI/CD,Enterprise Applications,1
132,EP-WS-HR Data Store,EP-WS-HR Data Store,Enterprise Applications,3
133,EP-WS-Unily Sales Communication Portal,EP-WS-Unily Sales Communication Portal,Enterprise Applications,4
134,ContactService V4,ContactService V4,Enterprise Applications,5
135,aiQ,aiQ,Enterprise Applications,2
136,clipapp-po-07p.sys.comcast.net, CLIPS OSS|clipapp-po-07p.sys.comcast.net|CLIPS OSS| clipapp-po-07p.sys.comcast.net,Enterprise Applications,4
137,Century Access Center(CAC),Century Access Center(CAC),Enterprise Applications,3
138,CAFE,CAFE|001eab98db016b00e1de5898dc96193d,Video| Data Center - Access Network Infrastructure| Voice| Legacy Devices| RDK| Broadband|Enterprise Applications| Enterprise Applications,4
139,Business Reporting Services,Business Reporting Services,Enterprise Applications,3
140,GIS Mapping,GIS Mapping,Enterprise Applications,3
141,Comcast Indirect Commissions System (CICS),Comcast Indirect Commissions System (CICS),Enterprise Applications,4
142,Vertex - EMS,Vertex - EMS,Enterprise Applications,2
143,DAS,DAS,Enterprise Applications,3
144,Xythos,Xythos,Enterprise Applications,5
145,eBusiness Data Services,eBusiness Data Services,Enterprise Applications,4
146,ngtwtweb-po-a1p.sys.comcast.net,Webtop| Webtop| 1b1a13fddb3a13004b1a5623dc9619a2| b3275b35db3a13004b1a5623dc9619bb|b3275b35db3a13004b1a5623dc9619bb,Enterprise Applications,1
147,AppD BSD,AppD BSD,Enterprise Applications,5
148,BSD-RPA-Bot,BSD-RPA-Bot,Enterprise Applications,5
149,BSD DIGITAL - SITECORE-7,BSD DIGITAL - SITECORE-7,Enterprise Applications,4
150,CIFA R12 - CORP,CIFA R12 - CORP,Enterprise Applications,5
151,SWIFT,SWIFT,Enterprise Applications,2
152,XSP - Enterprise Database,XSP - Enterprise Database,Enterprise Applications,3
153,EP-Fintech-CIFA-FA,EP-Fintech-CIFA-FA,Enterprise Applications,1
154,Market Design CDV,Market Design CDV,Enterprise Applications,5
155,Maestro Oracle KB - Cafe,Maestro Oracle KB - Cafe,Enterprise Applications,3
156,EPC - Database,EPC - Database,Enterprise Applications,1
157,tcswin-qc-01s.cable.comcast.com, CLIPS OSS|tcswin-qc-01s.cable.comcast.com| tcswin-qc-01s.cable.comcast.com|CLIPS OSS,Enterprise Applications,3
158,CCOM,CCOM,Enterprise Applications,3
159,ctilxdb-as-p01a.cable.comcast.com, Ilex| ctilxdb-as-p01a.cable.comcast.com|ctilxdb-as-p01a.cable.comcast.com|Ilex,Enterprise Applications,4
160,eprxybs-po-a1p.sys.comcast.net,Eproxybs| d3e893f9db3a13004b1a5623dc96190f| Eproxybs|d3e893f9db3a13004b1a5623dc96190f,Enterprise Applications,3
161,sfbld-po-a1p.cable.comcast.com,sfbld-po-a1p.cable.comcast.com| Salesforce.com (SFDC)| sfbld-po-a1p.cable.comcast.com|Salesforce.com (SFDC),Enterprise Applications,4
162,BSD DIGITAL - MyAccount,BSD DIGITAL - MyAccount,Enterprise Applications,2
163,HP Network Automation,HP Network Automation,Enterprise Applications,4
164,EEA SQM,EEA SQM,Enterprise Applications,1
165,XSP CPE Inventory Service,XSP CPE Inventory Service,Enterprise Applications,5
166,CXIP-Profanity Validate Service(PVS),CXIP-Profanity Validate Service(PVS),Core Services| Enterprise Applications,3
167,Orion ODS,Orion ODS,Enterprise Applications,1
168,Customer Experience Platform,Customer Experience Platform,Enterprise Applications,3
169,Unified Notes Service,Unified Notes Service,Enterprise Applications,5
170,MM-CRM,MM-CRM,Enterprise Applications,5
171,billing-service,billing-service,Enterprise Applications,5
172,Monitoring,Monitoring,Enterprise Applications,4
173,XCOS - Logging,XCOS - Logging,Enterprise Applications,5
174,ESPNextGen-DirectoryServices(TeamA/TDS WebServ),ESPNextGen-DirectoryServices(TeamA/TDS WebServ), Core Services|Core Services|Enterprise Applications| Enterprise Applications,4
175,XWIFI WAG Nokia,XWIFI WAG Nokia, XWIFI|Broadband| Enterprise Applications,1
176,Scout Core Xtreme, Scout Monitor GUI|Scout Core Xtreme,Enterprise Applications,2
177,Pivot, Ilex|Pivot,Enterprise Applications,3
178,dsc01-om01.northlake.il.ndcchgo.comcast.net, IMS BSP| opsnfm1-ch2-a01.sys.comcast.net|dsc01-om01.northlake.il.ndcchgo.comcast.net, Voice|Voice Syndication - Resi (Cox)| Voice core| Voice Syndication| Enterprise Applications,3
179,EmailService - V4,EmailService - V4,Enterprise Applications,3
180,clipapp-ch2-01p.sys.comcast.net, CLIPS OSS|clipapp-ch2-01p.sys.comcast.net| clipapp-ch2-01p.sys.comcast.net|CLIPS OSS,Enterprise Applications,5
181,cafemon-wc-1p.sys.comcast.net,cafe Monitoring| cafemon-wc-1p.sys.comcast.net,Enterprise Applications,2
182,OnlineVideoService - V4,OnlineVideoService - V4,Enterprise Applications,4
183,ProblemResolutionService - V4,ProblemResolutionService - V4,Enterprise Applications,3
184,XCOS BriteBill,XCOS BriteBill,Enterprise Applications,1
185,BVE Portal,BVE Portal,Enterprise Applications,3
186,MELD - Big Data,MELD - Big Data,Enterprise Applications,2
187,CIFA - INV,CIFA - INV,Enterprise Applications,4
188,Billing Service - Tactical Coherence Caching,Billing Service - Tactical Coherence Caching,Enterprise Applications,3
189,Salesforce - TPE0006215,Salesforce - TPE0006215,Enterprise Applications,1
190,NetworkService - V4,NetworkService - V4| NetworkService - V4|billing-service,Enterprise Applications,4
191,CXIP-Enterprise Service Directory (ESD),CXIP-Enterprise Service Directory (ESD),Enterprise Applications,2
192,SAP - Comcast SAP HCM,SAP - Comcast SAP HCM,Enterprise Applications,4
193,Scout Legacy Core, Scout Legacy Core|Scout Poller ReArch,Enterprise Applications,4
194,pevnet-po-01p.cable.comcast.com, pevnet-po-01p.cable.comcast.com|Market Design CDV,Enterprise Applications,1
195,XSP-Core-RDM-DBaaS,XSP-Core-RDM-DBaaS,Enterprise Applications,5
196,EPC - Pentaho Apps,EPC - Pentaho Apps,Enterprise Applications,1
197,gabxpp001,gabxpp001,Data Center - Access Network Infrastructure| Enterprise Applications,1
198,pci-ttu-prod-01.cnsmsp.local, pci-ttu-prod-01.cnsmsp.local|TTU,Enterprise Applications,2
199,flqppp001,flqppp001,Data Center - Access Network Infrastructure| Enterprise Applications,1
200,Equipment Swaps Campaign Manager,Equipment Swaps Campaign Manager,Enterprise Applications,4
201,fledpp001.pompanobeach.fl.pompano.comcast.net,520d49c91b47b7c48998620f6e4bcba7, Data Center - Access Network Infrastructure|Enterprise Applications|Data Center - Access Network Infrastructure| Enterprise Applications,5
202,Provisioning DNS,Provisioning DNS,Enterprise Applications| Core Network Services,5
203,SIMON,SIMON| SIMON,Enterprise Applications,1
204,DTAStateService V4,DTAStateService V4,Enterprise Applications,5
205,BSD-BluePrism-Bot,BSD-BluePrism-Bot,Enterprise Applications,5
206,XWIFI AP Controller,XWIFI AP Controller, XWIFI|Broadband| Enterprise Applications,1
207,ChannelService - V4,ChannelService - V4,Enterprise Applications,5
208,SAP - Payroll Module,SAP - Payroll Module,Enterprise Applications,1
209,MM-ODO,MM-ODO,Enterprise Applications,1
210,Abraxas,Abraxas,Enterprise Applications,5
211,MES-CRM,MES-CRM,Enterprise Applications,3
212,EPC - Wiz UI,EPC - Wiz UI,Enterprise Applications,2
213,XSP - CADM DB,XSP - CADM DB,Enterprise Applications,1
214,Numeritrack,Numeritrack,Enterprise Applications,1
215,Design Configuration Platform (DCP),Design Configuration Platform (DCP),Enterprise Applications,5
216,Lavastorm Business Services,Lavastorm Business Services,Enterprise Applications,1
217,XWIFI AP Portal,XWIFI AP Portal, Broadband| Enterprise Applications|XWIFI,5
218,BSD DIGITAL - SITECORE-8,BSD DIGITAL - SITECORE-8,Enterprise Applications,3
219,National Watchtower,National Watchtower,Enterprise Applications,2
220,MES-SQO,MES-SQO,Enterprise Applications,1
221,XCOS - PPE,XCOS - PPE,Enterprise Applications,1
222,SAP - Business Intelligence (BI),SAP - Business Intelligence (BI),Enterprise Applications,5
223,CLIPS - Helix,CLIPS - Helix,Enterprise Applications,1
224,ncst-ent-pdhcp.newcastlerdc.de.panjde.comcast.net, Enterprise DHCP|ncst-ent-pdhcp.newcastlerdc.de.panjde.comcast.net,Enterprise Applications| Core Network Services,5
225,SecurityProvisioningService - V4, SecurityProvisioningService - V4|Billing Service - Tactical Coherence Caching,Enterprise Applications,2
226,NWT-EXR,NWT-EXR,Enterprise Applications,2
227,Adobe Campaign Classic,Adobe Campaign Classic,Enterprise Applications,4
228,CIMA Identity Proofing,CIMA Identity Proofing,Core Services| Enterprise Applications,1
229,wbadm-wc-a0p.cable.comcast.com, BSD Ops|wbadm-wc-a0p.cable.comcast.com,Enterprise Applications,2
230,Versa Director,CLIPS - Helix| Versa Director,Enterprise Applications| Enterprise Applications,4
231,MES-Orion-Helix,MES-Orion-Helix,Enterprise Applications,3
232,Security - ServiceNow,Security - ServiceNow, Platform Monitoring|Enterprise Applications,5
233,CXP-CF-Customer Service,CXP-CF-Customer Service,Customer - Customer Engagement| Enterprise Applications| Care,2
234,PMG Service Catalog,PMG Service Catalog,a8f93d08db6e9b004b1a5623dc961989| a8f93d08db6e9b004b1a5623dc961989| EA:Services:General|EA:Services:General| Enterprise Applications,3
235,MM-SOM,MM-SOM,Enterprise Applications,4
236,espetldb-wc-b3p.sys.comcast.net,OrderSalesCommission-Turnstiles| espetldb-wc-b3p.sys.comcast.net,Enterprise Applications,4
237,MM-SQO,MM-SQO,Enterprise Applications,1
238,Xinventory,Xinventory,Enterprise Applications,3
239,MES-ODO,MES-ODO,Enterprise Applications,4
240,SpectraCM,SpectraCM,Enterprise Applications,5
241,omwdb-as-a1p.sys.comcast.net, Orion Middleware|omwdb-as-a1p.sys.comcast.net| Design Configuration Platform (DCP),Enterprise Applications,1
242,MES-AMIL,MES-AMIL,Enterprise Applications,5
243,EPC - EPC Batch,EPC - EPC Batch,Enterprise Applications,2
244,wbopsdb-wc-a4p.sys.comcast.net, 8efbdb75db7a13004b1a5623dc9619e1|wbopsdb-wc-a4p.sys.comcast.net| wbrepdb-ch2-a3p.sys.comcast.net| 1d4ad7fddb3a13004b1a5623dc961973| a69b9ff1db7a13004b1a5623dc9619bd| 16fbdb75db7a13004b1a5623dc9619eb| wbbpmdb-ch2-a1p.sys.comcast.net| wbopsdb-wc-a3p.sys.comcast.net| wbopsdb-wc-a1p.sys.comcast.net| 571a13fddb3a13004b1a5623dc9619e6| 5a6b93f1db7a13004b1a5623dc961982| wbrepdb-ch2-a1p.sys.comcast.net| wbopsdb-ch2-a2p.sys.comcast.net| wbopsdb-wc-a2p.sys.comcast.net| wbopsdb-wc-a6p.sys.comcast.net|wbopsdb-ch2-a1p.sys.comcast.net| wbopsdb-ch2-a3p.sys.comcast.net| 2d4ad7fddb3a13004b1a5623dc961975| 0efbdb75db7a13004b1a5623dc9619e3| wbopsdb-wc-a4p.sys.comcast.net| 8afbdb75db7a13004b1a5623dc9619e5| d71a13fddb3a13004b1a5623dc9619e4| 903a17fddb3a13004b1a5623dc9619a7| wbopsdb-wc-a5p.sys.comcast.net| wbrepdb-ch2-a2p.sys.comcast.net| 669b9ff1db7a13004b1a5623dc9619bf| 86fbdb75db7a13004b1a5623dc9619e9| 1efb1f75db7a13004b1a5623dc961937| wbbpmdb-ch2-a2p.sys.comcast.net| 203a17fddb3a13004b1a5623dc9619a9,Enterprise Applications,2
245,OpenStack Region CH2-F,OpenStack Region CH2-F,Enterprise Applications| Cloud Hosting,3
246,MES-Infra,MES-Infra,Core Network Services|Enterprise Applications| Core Network Services| Enterprise Applications,1
247,rpabot-as-1p.cable.comcast.com, SAP - Comcast SAP HCM|cbe6b92ddbbfeb00241f402339961992,Enterprise Applications,2
248,AppDynamics Proxy,AppDynamics Proxy,Enterprise Applications,5
249,EP-WS-ZETA - Career Site,EP-WS-ZETA - Career Site,Enterprise Applications,1
250,AmDD,AmDD,Enterprise Applications,3
251,DVC Portal,DVC Portal,Enterprise Applications,4
252,MM-Infra,MM-Infra,Enterprise Applications| Core Network Services,3
